dir,speed,prob
70,0.9,7.11E-06
60,0.9,7.11E-06
70,0.8,7.11E-06
60,0.7,7.11E-06
50,1,7.11E-06
40,1.2,7.11E-06
50,1.2,7.11E-06
60,0.8,7.11E-06
60,0.4,7.11E-06
70,0.2,7.11E-06
100,0.6,7.11E-06
100,0.8,7.11E-06
90,0.9,7.11E-06
100,1.1,7.11E-06
90,1.2,7.11E-06
90,1.4,7.11E-06
100,1.3,7.11E-06
100,1.2,7.11E-06
110,1.2,7.11E-06
110,1.2,7.11E-06
110,1.1,7.11E-06
120,1.3,7.11E-06
120,1.4,7.11E-06
120,1.3,7.11E-06
130,1.4,7.11E-06
140,1.5,7.11E-06
140,1.7,7.11E-06
140,1.9,7.11E-06
140,2,7.11E-06
150,1.8,7.11E-06
150,1.6,7.11E-06
160,1.4,7.11E-06
170,1.2,7.11E-06
160,1.1,7.11E-06
160,1.1,7.11E-06
160,0.9,7.11E-06
170,0.7,7.11E-06
170,0.8,7.11E-06
180,0.7,7.11E-06
180,0.8,7.11E-06
170,1,7.11E-06
180,1,7.11E-06
160,1,7.11E-06
150,1.1,7.11E-06
140,1.3,7.11E-06
140,1.4,7.11E-06
130,1.5,7.11E-06
120,1.8,7.11E-06
120,2,7.11E-06
110,2.3,7.11E-06
110,2.2,7.11E-06
110,2.6,7.11E-06
110,2.7,7.11E-06
110,2.6,7.11E-06
110,2.6,7.11E-06
110,2.6,7.11E-06
110,2.7,7.11E-06
110,2.7,7.11E-06
110,2.7,7.11E-06
110,2.8,7.11E-06
120,2.9,7.11E-06
110,3,7.11E-06
110,3.1,7.11E-06
110,3,7.11E-06
110,3,7.11E-06
110,2.9,7.11E-06
110,2.9,7.11E-06
110,2.8,7.11E-06
110,2.8,7.11E-06
120,2.9,7.11E-06
120,2.7,7.11E-06
130,2.4,7.11E-06
130,2.5,7.11E-06
140,2.3,7.11E-06
150,2.2,7.11E-06
160,2.4,7.11E-06
160,2.3,7.11E-06
150,2.1,7.11E-06
160,2,7.11E-06
150,2.1,7.11E-06
150,2.1,7.11E-06
150,2.2,7.11E-06
150,2,7.11E-06
150,2,7.11E-06
140,1.8,7.11E-06
140,1.7,7.11E-06
120,1.6,7.11E-06
120,2.1,7.11E-06
120,1.6,7.11E-06
130,1.5,7.11E-06
130,1.4,7.11E-06
130,1.3,7.11E-06
140,0.9,7.11E-06
130,1.2,7.11E-06
140,1.4,7.11E-06
140,1.2,7.11E-06
140,1.5,7.11E-06
150,1.7,7.11E-06
160,1.4,7.11E-06
150,1.5,7.11E-06
160,1.5,7.11E-06
170,1.7,7.11E-06
180,1.9,7.11E-06
170,1.6,7.11E-06
140,1.9,7.11E-06
130,2.1,7.11E-06
160,1.8,7.11E-06
160,1.4,7.11E-06
120,1.5,7.11E-06
100,2.1,7.11E-06
100,2.1,7.11E-06
110,2.1,7.11E-06
120,2,7.11E-06
110,2,7.11E-06
110,2.2,7.11E-06
110,2.1,7.11E-06
110,2.1,7.11E-06
120,2.1,7.11E-06
120,1.9,7.11E-06
120,1.8,7.11E-06
110,2,7.11E-06
110,2.1,7.11E-06
110,2,7.11E-06
110,1.8,7.11E-06
110,1.8,7.11E-06
110,1.6,7.11E-06
120,1.8,7.11E-06
120,2,7.11E-06
